# task_id,arrival_time,scheduled_time,number_of_operations,id_machine,deadline,end_time,memory,power
41,0,0,9.57214e+08,CPU2_799,0,106.357,1296,50
71,0,0,1.38822e+08,CPU2_798,0,15.4247,1652,50
271,0,0,9.30548e+07,SW4_39,0,0.0830846,738,5
8322,0,0,1.60677e+09,CPU2_797,0,178.53,1812,50
8472,0,0,7.33934e+07,CPU2_796,0,8.15482,1562,50
16499,0,0,1.22243e+09,CPU2_795,0,135.825,1710,50
16611,0,0,1.31121e+09,SW2_19,0,1.19201,53,4
33116,0,0,5.54032e+08,CPU2_794,0,61.5592,1582,50
33132,0,0,1.90122e+09,SW2_18,0,1.72838,230,4
33314,0,0,1.91829e+09,CPU2_793,0,213.143,1385,50
33527,0,0,1.084e+09,SW4_38,0,0.967854,728,5
8604,0,0,6.82522e+08,CPU2_792,0,75.8357,2106,50
17000,0,0,1.95625e+09,CPU2_791,0,217.362,1282,50
33833,0,0,2.13461e+09,CPU2_790,0,237.178,2625,50
17323,0,0,1.77951e+08,CPU2_789,0,19.7723,3145,50
34304,0,0,6.42318e+08,CPU2_788,0,71.3687,3044,50
34625,0,0,1.8649e+09,SW2_17,0,1.69536,138,4
34715,0,0,3.85396e+08,CPU2_787,0,42.8218,1224,50
17991,0,0,1.04153e+09,CPU2_786,0,115.725,2247,50
34980,0,0,1.0085e+09,CPU2_785,0,112.056,1831,50
35087,0,0,2.50796e+08,CPU2_784,0,27.8662,2431,50
35277,0,0,7.06935e+08,SW4_37,0,0.631192,844,5
35741,0,0,2.08578e+09,SW4_36,0,1.8623,676,5
35773,0,0,1.04064e+09,SW4_35,0,0.929143,888,5
18061,0,0,6.79878e+08,CPU2_783,0,75.542,1743,50
36193,0,0,1.3895e+07,CPU2_782,0,1.54389,2868,50
36275,0,0,1.92532e+09,SW2_16,0,1.75029,248,4
36768,0,0,5.36192e+08,CPU2_781,0,59.5769,1535,50
4848,0,0,1.88435e+09,CPU2_780,0,209.372,2244,50
19152,0,0,1.57392e+09,SW2_15,0,1.43084,318,4
37237,0,0,1.31092e+09,CPU2_779,0,145.657,3158,50
37656,0,0,1.07809e+09,CPU2_778,0,119.787,2391,50
37844,0,0,1.84442e+09,CPU2_777,0,204.936,2209,50
19361,0,0,2.1285e+09,SW2_14,0,1.935,242,4
38572,0,0,3.79857e+08,CPU2_776,0,42.2063,1431,50
38755,0,0,4.8871e+08,CPU2_775,0,54.3011,1530,50
4982,0,0,1.62241e+09,CPU2_774,0,180.268,1423,50
39077,0,0,5.42858e+08,CPU2_773,0,60.3175,1023,50
39214,0,0,1.90362e+09,CPU2_772,0,211.513,1229,50
39836,0,0,5.21307e+08,CPU2_771,0,57.923,2107,50
39919,0,0,9.3479e+08,SW4_34,0,0.834634,869,5
9993,0,0,1.90855e+09,CPU2_770,0,212.061,2162,50
40002,0,0,1.65216e+08,CPU2_769,0,18.3574,2793,50
40444,0,0,9.22555e+08,CPU2_768,0,102.506,1326,50
5885,0,0,8.7124e+08,CPU2_767,0,96.8045,1112,50
10414,0,0,1.61676e+08,CPU2_766,0,17.964,1503,50
10506,0,0,8.7211e+08,SW4_33,0,0.77867,540,5
20528,0,0,4.48744e+08,CPU2_765,0,49.8605,1555,50
41229,0,0,1.97046e+09,CPU2_764,0,218.94,1578,50
41314,0,0,1.84554e+09,CPU2_763,0,205.06,3050,50
41367,0,0,9.5125e+08,CPU2_762,0,105.694,1523,50
20864,0,0,1.67959e+09,CPU2_761,0,186.621,2621,50
41534,0,0,1.33816e+09,CPU2_760,0,148.685,2029,50
20948,0,0,4.82015e+08,SW4_32,0,0.43037,955,5
41888,0,0,5.12587e+08,CPU2_759,0,56.9541,1578,50
10573,0,0,1.21158e+08,CPU2_758,0,13.462,2754,50
21102,0,0,1.9911e+09,CPU2_757,0,221.234,1751,50
21222,0,0,1.18333e+09,CPU2_756,0,131.481,1560,50
21266,0,0,1.95146e+08,CPU2_755,0,21.6829,1227,50
42514,0,0,9.95443e+08,SW4_31,0,0.888788,670,5
42929,0,0,5.7232e+08,SW4_30,0,0.511,690,5
11174,0,0,1.55958e+09,CPU2_754,0,173.286,1745,50
43128,0,0,2.14291e+09,CPU2_753,0,238.101,1046,50
43166,0,0,1.9216e+09,CPU2_752,0,213.511,2863,50
43205,0,0,1.8863e+08,CPU2_751,0,20.9589,2522,50
43408,0,0,1.11499e+09,CPU2_750,0,123.888,2498,50
11209,0,0,1.8098e+09,SW2_13,0,1.64527,311,4
22125,0,0,1.48115e+09,CPU2_749,0,164.573,2274,50
